0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,13,13058,7302,8626,12691,7555,1505,8064,13031,7434,12808,8552,137,10846,7679,6621,7405,12813,8997,13123
1,3184,3615,3632,1885,1443,6093,6059,2495,2811,6672,2472,1057,4481,6100,6165,2697,2971,5658,4271,3201
2,3,12016,8654,13100,11002,3146,10709,8676,11497,11986,16669,11574,8504,14064,10993,10834,17095,15879,9525,10722
3,2,10993,5723,15168,17492,17423,11002,1390,14064,17095,10834,12016,12905,11015,6595,11361,4299,11831,7998,6179
4,6989,453,12328,819,7337,10883,6934,14995,7687,8552,12808,18818,6054,10944,12623,8301,240,5578,8653,4676
5,14351,17241,6618,11211,11708,6189,12012,4681,5886,11971,784,4287,15320,11923,11249,13516,17440,6625,11706,15093
6,7302,13058,6621,8626,5675,12691,16756,13031,16083,7555,8064,1505,7434,205,17486,11781,11831,12808,8552,11928
7,3184,3615,1443,1885,3787,3754,2593,1838,6059,6093,2495,3632,2086,4481,1057,2472,4013,6518,5977,5492
8,9593,7751,4610,4099,6124,2988,9687,10329,9940,17663,16581,12445,12750,2781,12718,6138,3236,5967,10997,4268
9,373,132,7863,9777,1894,10194,2270,17212,7574,10285,11864,8590,2392,11143,10709,9307,10509,10854,6517,11002
10,9464,8684,14502,13789,13767,7521,7372,5996,10142,14843,14965,14932,15003,4672,10651,13325,8703,409,2100,8051
11,6934,6989,7748,12380,7687,14995,8552,18818,12808,6054,1816,10400,4676,4765,2414,7405,7338,11031,9249,14870
12,88,26,13573,2992,11202,8633,3188,13416,122,18598,10041,6101,13985,6222,14024,10742,6175,10142,14965,4672
13,0,11708,7302,9342,13058,9317,12691,13876,13609,18490,13115,13360,7434,12558,18501,18326,18328,8552,12808,13691
14,6989,11002,16995,14064,9544,12479,6934,7687,12328,3146,14995,8075,12470,5584,18818,12808,8552,6054,10944,2071
15,5723,15168,4299,14064,7101,10394,15246,7998,4612,6396,15301,6179,11837,11002,18,4558,10544,12905,8144,13134
16,482,6989,2415,2411,17809,3856,12239,1667,625,8920,5857,5715,13058,7302,12691,7555,7434,405,1095,16579
17,7998,10394,22,11971,15168,5723,10854,95,11560,17422,4299,6396,11002,11837,6179,4612,2025,1836,7828,15332
18,15168,5723,16912,13371,18598,4299,6179,6396,2992,10041,11002,13573,6175,14843,4672,14932,10142,14965,15003,10651
19,1215,15168,5723,6179,8539,442,13181,10758,4299,18668,11002,13858,9012,343,6204,14602,2416,14401,4558,9445
20,9940,10329,13266,12558,18898,16489,13573,7335,6101,14918,7723,2992,679,13372,1012,6791,458,966,9601,200
21,8654,13100,1272,13006,8578,12611,12041,13158,13089,13055,12943,1565,13023,13020,5552,10749,5711,12397,6147,1408
22,17,15168,5723,11644,11368,7998,11837,4612,6396,10394,10850,4840,8943,6498,5102,2007,10386,11971,4299,17385
